slot_utc,count,min_seconds,p25_seconds,p50_seconds,p75_seconds,p95_seconds,p99_seconds,max_seconds,within_1m_percent,within_15m_percent,within_30m_percent,within_1h_percent,over_1h_percent,finalized_expected_count,finalized_observed_count,missing_count,missing_percent
0355,40,1480,2070,16006,17995,23920,42654,42654,0.00,0.00,10.00,30.00,70.00,40,40,0,0.00
0400,40,1498,2091,16113,18071,24092,42721,42721,0.00,0.00,5.00,30.00,70.00,40,40,0,0.00
0405,40,1807,2316,16565,18714,24620,44499,44499,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0410,40,1797,2412,16628,18661,24575,44526,44526,0.00,0.00,2.50,30.00,70.00,40,40,0,0.00
0415,40,1897,2418,16576,18545,24572,44579,44579,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0420,40,1652,2178,16266,18268,24330,44357,44357,0.00,0.00,5.00,30.00,70.00,40,40,0,0.00
0425,40,1594,2060,16141,18205,24363,44275,44275,0.00,0.00,7.50,30.00,70.00,40,40,0,0.00
0430,40,1565,2072,16061,18099,24429,44285,44285,0.00,0.00,7.50,30.00,70.00,40,40,0,0.00
0435,40,1460,1957,15971,17934,24257,44296,44296,0.00,0.00,12.50,30.00,70.00,40,40,0,0.00
0440,40,1170,1687,15643,17649,23956,44022,44022,0.00,0.00,25.00,30.00,70.00,40,40,0,0.00
0445,40,1002,1907,15501,17456,23769,43828,43828,0.00,0.00,17.50,30.00,70.00,40,40,0,0.00
0450,40,783,1660,15298,17196,23525,43582,43582,0.00,2.50,25.00,30.00,70.00,40,40,0,0.00
0455,40,1049,1516,15174,17007,23240,43331,43331,0.00,0.00,27.50,30.00,70.00,40,40,0,0.00
0500,40,1798,2334,15914,17657,23543,44097,44097,0.00,0.00,2.50,30.00,70.00,40,40,0,0.00
0505,40,1700,2187,15896,17501,23364,44105,44105,0.00,0.00,2.50,30.00,70.00,40,40,0,0.00
0510,40,1492,2026,15723,17303,23168,43903,43903,0.00,0.00,15.00,30.00,70.00,40,40,0,0.00
0515,40,1549,2086,15830,17358,23094,43879,43879,0.00,0.00,12.50,30.00,70.00,40,40,0,0.00
0520,40,1316,1839,15588,17115,22790,43598,43598,0.00,0.00,22.50,30.00,70.00,40,40,0,0.00
0525,40,1189,1702,15501,17079,22576,43416,43416,0.00,0.00,27.50,30.00,70.00,40,40,0,0.00
0530,40,1293,1793,15677,17281,22516,43655,43655,0.00,0.00,25.00,30.00,70.00,40,40,0,0.00
0535,40,1226,1680,15534,17312,22387,43537,43537,0.00,0.00,27.50,30.00,70.00,40,40,0,0.00
0540,40,1012,1415,15285,17048,22122,43271,43271,0.00,0.00,30.00,30.00,70.00,40,40,0,0.00
0545,40,780,1141,14995,16805,21855,42996,42996,0.00,12.50,30.00,30.00,70.00,40,40,0,0.00
0550,40,685,1716,14849,16703,21648,42770,42770,0.00,20.00,25.00,30.00,70.00,40,40,0,0.00
0555,40,1285,1745,14822,16661,21677,42645,42645,0.00,0.00,25.00,30.00,70.00,40,40,0,0.00
0600,40,2563,3264,17553,19231,25555,44465,44465,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0605,40,2768,3368,17987,19654,26689,44840,44840,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0610,40,2734,3354,17904,19518,26961,44824,44824,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0615,40,2583,3236,18019,19601,27347,44855,44855,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0620,40,2527,3206,18454,19888,27969,44989,44989,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0625,40,2260,2912,18178,19614,27698,44703,44703,0.00,0.00,0.00,25.00,75.00,39,39,0,0.00
0630,40,2267,3475,18489,19755,28202,44827,44827,0.00,0.00,0.00,25.00,75.00,39,39,0,0.00
0635,40,1986,3204,18273,19463,27947,44569,44569,0.00,0.00,0.00,25.00,75.00,39,39,0,0.00
0640,40,1734,2953,18022,19204,27695,44302,44302,0.00,0.00,2.50,27.50,72.50,39,39,0,0.00
0645,40,1784,2690,17844,19084,27519,44067,44067,0.00,0.00,2.50,30.00,70.00,39,39,0,0.00
0650,40,1672,2600,17709,19206,27480,43866,43866,0.00,0.00,7.50,30.00,70.00,39,39,0,0.00
0655,40,1383,2340,17415,19059,27246,43589,43589,0.00,0.00,10.00,30.00,70.00,39,39,0,0.00
0700,40,1825,2752,17883,19599,28346,44192,44192,0.00,0.00,0.00,30.00,70.00,39,39,0,0.00
0705,40,1947,2912,17952,19707,28573,44287,44287,0.00,0.00,0.00,30.00,70.00,39,39,0,0.00
0710,40,1892,2797,17721,19481,28401,44078,44078,0.00,0.00,0.00,30.00,70.00,39,39,0,0.00
0715,40,1591,2516,17421,19179,28106,43776,43776,0.00,0.00,7.50,30.00,70.00,39,39,0,0.00
0720,40,1656,2672,17358,19187,28278,43735,43735,0.00,0.00,7.50,30.00,70.00,39,39,0,0.00
0725,40,1457,2415,17108,18914,28100,43480,43480,0.00,0.00,10.00,30.00,70.00,39,39,0,0.00
0730,40,1225,2132,16857,18642,27850,43199,43199,0.00,0.00,10.00,30.00,70.00,39,39,0,0.00
0735,40,1116,2008,16699,18617,27779,43036,43036,0.00,0.00,15.00,30.00,70.00,39,39,0,0.00
0740,40,968,2465,16487,18483,27778,42862,42862,0.00,0.00,20.00,30.00,70.00,39,39,0,0.00
0745,40,933,2343,16272,18339,27837,42629,42629,0.00,0.00,10.00,30.00,70.00,39,39,0,0.00
0750,40,567,2053,15965,18011,27529,42325,42325,0.00,10.00,20.00,32.50,67.50,39,39,0,0.00
0755,40,1159,2085,15916,17969,27787,42567,42567,0.00,0.00,17.50,30.00,70.00,39,39,0,0.00
0800,40,1758,2623,16578,18628,28461,42973,42973,0.00,0.00,2.50,30.00,70.00,39,39,0,0.00
0805,40,1976,2928,16711,19182,28888,43485,43485,0.00,0.00,0.00,30.00,70.00,39,39,0,0.00
0810,40,2024,2917,16501,19114,28680,43257,43257,0.00,0.00,0.00,30.00,70.00,39,39,0,0.00
0815,40,1859,2799,16323,18944,28530,43039,43039,0.00,0.00,0.00,30.00,70.00,39,39,0,0.00
0820,40,1739,2642,16148,18842,28367,42832,42832,0.00,0.00,2.50,30.00,70.00,39,39,0,0.00
0825,41,1625,2628,15983,18689,28204,42700,42700,0.00,0.00,7.32,29.27,70.73,40,40,0,0.00
0830,41,1498,2462,15755,18515,28011,42469,42469,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
0835,41,1438,2807,15685,18420,27953,42329,42329,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
0840,41,1177,2582,15417,18164,27692,42060,42060,0.00,0.00,14.63,31.71,68.29,40,40,0,0.00
0845,41,1000,2371,15178,17954,27480,41825,41825,0.00,0.00,12.20,31.71,68.29,40,40,0,0.00
0850,41,763,2075,14896,17663,27189,41696,41696,0.00,9.76,21.95,36.59,63.41,40,40,0,0.00
0855,41,1305,2177,14988,17867,27366,41649,41649,0.00,0.00,19.51,36.59,63.41,40,40,0,0.00
0900,41,1832,2952,15966,18435,28581,42427,42427,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
0905,41,1651,2752,15757,18243,28477,42192,42192,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
0910,41,1587,2647,15627,18022,28317,41965,41965,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
0915,41,1612,2577,15613,17858,28168,41755,41755,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
0920,41,1520,2487,15405,17664,28026,41796,41796,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
0925,41,1356,2326,15171,17438,27793,41526,41526,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
0930,41,994,2027,14859,17134,27487,41246,41246,0.00,0.00,21.95,29.27,70.73,40,40,0,0.00
0935,41,1030,1980,14849,17054,27447,41015,41015,0.00,0.00,21.95,31.71,68.29,40,40,0,0.00
0940,41,867,1826,14670,16822,27161,40732,40732,0.00,2.44,24.39,31.71,68.29,40,40,0,0.00
0945,41,789,1940,14515,16597,26918,40424,40424,0.00,9.76,21.95,36.59,63.41,40,40,0,0.00
0950,41,669,1730,14304,16343,26683,40181,40181,0.00,9.76,26.83,36.59,63.41,40,40,0,0.00
0955,41,468,1510,14020,16070,26384,39881,39881,0.00,9.76,29.27,36.59,63.41,40,40,0,0.00
1000,41,1506,2244,14667,16902,26807,40085,40085,0.00,0.00,9.76,31.71,68.29,40,40,0,0.00
1005,41,1671,2518,15054,17041,26893,39873,39873,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
1010,41,1575,2408,14945,16889,26776,39653,39653,0.00,0.00,9.76,36.59,63.41,40,40,0,0.00
1015,41,1479,2211,14847,16733,26554,39373,39373,0.00,0.00,9.76,36.59,63.41,40,40,0,0.00
1020,41,1183,1910,14547,16460,26264,39075,39075,0.00,0.00,24.39,36.59,63.41,40,40,0,0.00
1025,41,1185,1978,14465,16496,26068,38818,38818,0.00,0.00,19.51,36.59,63.41,40,40,0,0.00
1030,41,1135,1944,14364,16551,25850,38579,38579,0.00,0.00,21.95,36.59,63.41,40,40,0,0.00
1035,41,840,1594,14023,16206,25542,38268,38268,0.00,7.32,29.27,36.59,63.41,40,40,0,0.00
1040,41,875,1497,13882,16112,25304,38064,38064,0.00,4.88,29.27,36.59,63.41,40,40,0,0.00
1045,41,717,1243,13633,15861,25021,37778,37778,0.00,9.76,29.27,36.59,63.41,40,40,0,0.00
1050,41,663,1391,13449,15628,24753,37502,37502,0.00,9.76,29.27,36.59,63.41,40,40,0,0.00
1055,41,422,1172,13180,15336,24463,37197,37197,0.00,9.76,29.27,36.59,63.41,40,40,0,0.00
1100,41,1633,2170,13993,15795,25099,37247,37247,0.00,0.00,9.76,36.59,63.41,40,40,0,0.00
1105,41,1355,1894,13700,15499,24797,36944,36944,0.00,0.00,19.51,36.59,63.41,40,40,0,0.00
1110,41,1120,1658,13434,15221,24500,36652,36652,0.00,0.00,29.27,36.59,63.41,40,40,0,0.00
1115,41,1121,1729,13187,15010,24305,36584,36584,0.00,0.00,29.27,36.59,63.41,40,40,0,0.00
1120,41,1048,1657,12952,14769,24086,36392,36392,0.00,0.00,29.27,36.59,63.41,40,40,0,0.00
1125,41,816,1411,12679,14484,23825,36133,36133,0.00,9.76,29.27,36.59,63.41,40,40,0,0.00
1130,41,801,1412,12461,14310,23622,35905,35905,0.00,9.76,29.27,36.59,63.41,40,40,0,0.00
1135,41,1005,1430,12384,14159,23540,35804,35804,0.00,0.00,29.27,36.59,63.41,40,40,0,0.00
1140,41,798,1191,12099,13906,23250,35435,35435,0.00,9.76,29.27,36.59,63.41,40,40,0,0.00
1145,41,714,1116,11903,13681,23028,35197,35197,0.00,12.20,29.27,36.59,63.41,40,40,0,0.00
1150,41,409,800,11606,13380,22727,34893,34893,0.00,29.27,29.27,36.59,63.41,40,40,0,0.00
1155,41,1284,1827,12034,13720,23318,34794,34794,0.00,0.00,24.39,36.59,63.41,40,40,0,0.00
1200,41,976,1517,11722,13406,22996,34490,34490,0.00,0.00,29.27,36.59,63.41,40,40,0,0.00
1205,41,1868,2678,13038,14659,24361,35176,35176,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
