slot_utc,count,min_seconds,p25_seconds,p50_seconds,p75_seconds,p95_seconds,p99_seconds,max_seconds,within_1m_percent,within_15m_percent,within_30m_percent,within_1h_percent,over_1h_percent,finalized_expected_count,finalized_observed_count,missing_count,missing_percent
2000,41,626,1109,7187,8017,12575,28496,28496,0.00,17.07,29.27,34.15,65.85,40,40,0,0.00
2005,41,1564,1979,8188,9212,13084,29693,29693,0.00,0.00,14.63,34.15,65.85,40,40,0,0.00
2010,41,1378,1757,7929,8995,12884,29428,29428,0.00,0.00,26.83,34.15,65.85,40,40,0,0.00
2015,41,1490,1976,7951,9021,13028,29244,29244,0.00,0.00,17.07,34.15,65.85,40,40,0,0.00
2020,41,1345,1876,7949,8950,12911,28998,28998,0.00,0.00,19.51,34.15,65.85,40,40,0,0.00
2025,41,1035,1534,7608,8650,12592,28691,28691,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2030,41,959,1514,7507,8532,12473,28468,28468,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2035,41,991,1448,7488,8475,12455,28288,28288,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2040,41,840,1231,7236,8226,12217,28054,28054,0.00,4.88,29.27,34.15,65.85,40,40,0,0.00
2045,41,752,1066,6999,7976,11998,27797,27797,0.00,14.63,29.27,34.15,65.85,40,40,0,0.00
2050,41,663,1351,6809,7815,12408,27712,27712,0.00,14.63,29.27,34.15,65.85,40,40,0,0.00
2055,41,885,1312,6676,7637,12265,29094,29094,0.00,2.44,29.27,34.15,65.85,40,40,0,0.00
2100,41,991,1482,6870,7820,12335,29117,29117,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2105,41,1087,1611,6934,7976,12509,29053,29053,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2110,41,1360,1876,7069,8243,12971,29491,29491,0.00,0.00,21.95,34.15,65.85,40,40,0,0.00
2115,41,1017,1507,6750,7908,12638,29151,29151,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2120,41,869,1485,6705,7838,12499,29112,29112,0.00,2.44,29.27,34.15,65.85,40,40,0,0.00
2125,41,990,1576,6752,7738,12622,29149,29149,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2130,41,1045,1490,6803,7599,12544,29009,29009,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2135,41,698,1184,6474,7281,12230,28676,28676,0.00,12.20,29.27,34.15,65.85,40,40,0,0.00
2140,41,677,1016,6496,7110,12090,28540,28540,0.00,17.07,29.27,34.15,65.85,40,40,0,0.00
2145,41,622,920,6367,6961,11914,29061,29061,0.00,24.39,29.27,34.15,65.85,40,40,0,0.00
2150,41,450,765,6136,6749,15661,28777,28777,0.00,29.27,29.27,34.15,65.85,40,40,0,0.00
2155,41,335,930,5933,6588,15608,28507,28507,0.00,21.95,29.27,34.15,65.85,40,40,0,0.00
2200,41,1328,1719,6651,7022,17941,28754,28754,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2205,41,1561,1900,6906,7424,17937,28730,28730,0.00,0.00,21.95,34.15,65.85,40,40,0,0.00
2210,41,1420,1875,6940,7534,17830,28494,28494,0.00,0.00,21.95,34.15,65.85,40,40,0,0.00
2215,41,1131,1620,6711,7256,18071,28212,28212,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2220,41,1283,1745,6897,7671,18153,28237,28237,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2225,41,1160,1638,6810,7685,18011,28048,28048,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2230,41,773,1236,6377,7190,17614,27681,27681,0.00,9.76,29.27,34.15,65.85,40,40,0,0.00
2235,41,763,1259,6330,7290,17592,27537,27537,0.00,9.76,29.27,34.15,65.85,40,40,0,0.00
2240,41,1012,1297,6359,7363,17608,27647,27647,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2245,41,573,889,5980,6927,17273,27265,27265,0.00,26.83,29.27,34.15,65.85,40,40,0,0.00
2250,41,546,888,5908,6916,18224,27127,27127,0.00,29.27,29.27,34.15,65.85,40,40,0,0.00
2255,41,518,1058,5667,6781,18024,26898,26898,0.00,17.07,29.27,34.15,65.85,40,40,0,0.00
2300,41,520,871,5430,6695,17800,26677,26677,0.00,26.83,34.15,34.15,65.85,40,40,0,0.00
2305,41,1347,1580,6605,7596,18086,27973,27973,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2310,41,1373,1562,6685,7436,17921,27901,27901,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2315,41,1077,1271,6450,7162,17638,27621,27621,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2320,41,956,1319,6429,7033,17452,27407,27407,0.00,0.00,29.27,34.15,65.85,40,40,0,0.00
2325,41,832,1106,6326,6843,17178,27147,27147,0.00,9.76,29.27,34.15,65.85,40,40,0,0.00
2330,41,695,985,6312,6664,17061,26922,26922,0.00,21.95,29.27,34.15,65.85,40,40,0,0.00
2335,41,964,1163,6463,7126,16969,26890,26890,0.00,0.00,29.27,29.27,70.73,40,40,0,0.00
2340,41,706,932,6176,6899,16679,26606,26606,0.00,24.39,29.27,29.27,70.73,40,40,0,0.00
2345,41,678,858,6026,6915,16477,26381,26381,0.00,29.27,29.27,34.15,65.85,40,40,0,0.00
2350,41,561,736,5866,6848,16195,26177,26177,0.00,29.27,29.27,34.15,65.85,40,40,0,0.00
2355,41,3440,3661,9319,10521,18909,30893,30893,0.00,0.00,0.00,19.51,80.49,40,40,0,0.00
recent_1d,288,5763,8215,12825,18160,20464,23614,24010,0.00,0.00,0.00,0.00,100.00,288,288,0,0.00
recent_3d,864,5320,8363,12723,16737,19721,20697,24010,0.00,0.00,0.00,0.00,100.00,864,864,0,0.00
recent_7d,2016,5320,9904,14576,17670,20017,24010,24884,0.00,0.00,0.00,0.00,100.00,2016,2016,0,0.00
recent_15d,4320,4914,9183,13960,17152,19780,23250,24884,0.00,0.00,0.00,0.00,100.00,4320,4320,0,0.00
recent_30d,8640,376,7452,13132,17430,28950,41953,44989,0.00,1.46,6.77,13.07,86.93,8640,8640,0,0.00
overall,11724,335,2834,9273,16431,24870,40626,44989,0.00,2.99,15.00,29.57,70.43,11496,11496,0,0.00
